  -17.78	    0.00	       1	    1.27       0	
    2.39	   15.37	       0	   15.16       0	
    1.75	   30.73	       1	   30.51       0	
    3.56	   27.72	       2	   48.89       0	
    9.10	   25.06	       3	   56.41       0	
   20.64	   24.84	       4	   52.60       0	
   23.65	   18.07	       5	   47.52      18	
   18.35	   16.04	       6	   41.20      41	
   21.42	    7.65	       7	   33.59      64	
   16.72	    5.39	       8	   24.78      64	
   11.00	    3.61	       9	   17.04      88	
    2.04	    8.18	       4	   16.25       0	
   -5.60	   11.17	       5	   11.73       0	
    1.25	   15.43	       4	   17.89       0	
   -1.50	   23.63	       5	   19.24       0	
    5.95	   30.87	       6	   30.92       0	
   10.97	   32.34	       7	   28.05       0	
   21.78	   24.33	       8	   19.16       0	
   17.60	   22.83	       7	    9.07       6	
   15.97	    9.10	       6	    0.36      24	
   20.81	    4.60	       5	    0.00      46	
   11.34	    0.00	       4	    0.00      50	
    9.38	    0.00	       3	    0.00      65	
    0.59	    7.67	       0	    3.91       0	
   -2.47	    9.17	       1	    6.77       0	
   -4.92	   18.24	       2	    6.60       0	
    1.47	   31.05	       3	   18.58       0	
    5.96	   33.89	       4	   31.64       0	
   17.90	   29.20	       5	   26.62       0	
   23.06	   23.88	       6	   20.27       0	
   18.76	   23.88	       7	   12.67       3	
   18.74	    7.61	       6	    3.80      25	
   20.85	    1.59	       5	    0.00      43	
    8.87	    0.00	       4	    0.00      63	
    6.21	    1.21	       3	    2.33      86	
    5.02	    5.00	       0	    9.07       0	
   -2.45	    8.85	       1	   11.92       0	
    1.32	   23.17	       2	   25.34       0	
    4.05	   22.57	       3	   42.77       0	
    3.61	   26.62	       4	   58.77       0	
    7.63	   29.78	       5	   67.88       0	
   17.15	   29.81	       6	   61.64       0	
   16.35	   17.15	       7	   54.20       7	
   24.64	   16.19	       8	   45.31      27	
   18.03	    5.07	       9	   35.18      48	
    8.94	    0.00	      10	   27.63      51	
    5.17	    3.44	      11	   24.39      69	
    4.68	    7.99	       7	   23.10       0	
    2.55	   15.92	       8	   29.94       0	
   -5.73	   14.20	       9	   20.37       0	
    5.92	   27.51	       8	   27.75       0	
    5.32	   25.35	       9	   37.41       0	
   15.03	   33.88	      10	   26.46       0	
   13.23	   28.79	      11	   15.40       0	
   24.55	   23.37	      10	    1.43      15	
   19.50	   12.18	       9	    0.00      22	
   13.33	    6.61	       8	    0.00      25	
   17.94	    3.57	       7	    0.00      44	
    8.22	    4.20	       6	    0.00      52	
    2.70	    5.23	       3	    2.19       0	
   -0.32	   15.80	       2	    6.82       0	
   -1.59	   19.23	       3	   10.16       0	
   -3.15	   22.02	       4	    9.43       0	
    3.29	   30.51	       3	   23.05       0	
   18.41	   33.88	       4	   19.27       0	
   18.30	   29.75	       5	   14.23       0	
   15.88	   16.27	       6	    8.14       4	
   24.87	   14.62	       5	    0.52      15	
   14.45	    5.86	       4	    0.00      25	
   17.35	    5.10	       3	    0.00      47	
    3.62	    5.01	       2	    6.62      55	
    0.07	    1.64	       1	    8.64       0	
